state,total,18_24,25_39,40_54,55_64,65_up,male,female,population,households_w_children,pct_pop_insecure,pct_insecure_w_child,sal_less_25k,sal_25k_35k,adult_obesity_rate,pc_healthcare_spend,snap_number,snap_pct
US,11023062,2061245,8961817,8666409,4942610,3345058,12732220,15244918,331900000,13009747,0.03,1.18,7477129,4255052,39.6,10191,41066142,0.12
AL,481840,481840,20659,154673,128877,109374,68256,133537,4849377,203236,0.10,0.42,157769,117039,38.3,9280,774318,0.16
AK,71538,2343,24706,15609,22892,5987,42125,29413,736732,34951,0.10,0.49,21752,8830,32.1,13642,82986,0.11
AZ,738127,64210,259178,201023,135817,77897,313098,425029,6731484,368738,0.11,0.50,163337,141949,33.2,8756,884668,0.13
AR,262622,5224,130654,62010,28519,36215,97921,164700,2966369,129443,0.09,0.49,91134,37141,37.4,9338,238828,0.08
CA,2929079,87782,926987,1164938,411316,338057,1362905,1566173,38802500,1507585,0.08,0.51,678755,444125,28.1,10299,4553236,0.12
CO,472958,44958,215048,132228,38880,41844,246775,226183,5355866,195706,0.09,0.41,87145,38797,25.0,8583,601114,0.11
CT,305558,27813,93888,89605,75787,18465,116664,188894,3596677,111412,0.08,0.36,97961,33898,30.6,12489,383809,0.11
DE,88724,2330,26566,35194,12541,12094,47502,41223,935614,36374,0.09,0.41,19973,8551,37.9,12899,121463,0.13
DC,31836,1587,8408,4904,8801,8136,14775,17061,658893,11453,0.05,0.36,14212,343,24.3,14381,142764,0.22
FL,1865768,151089,403506,688330,386541,236302,789151,1076616,19893297,777038,0.09,0.42,396548,304861,31.6,9865,2834015,0.14
GA,1178123,85696,470545,316806,178502,126576,515121,663003,10097343,538827,0.12,0.46,367252,227662,37.0,8758,1619121,0.16
HI,132667,2516,27247,56279,15714,30910,81169,51499,1419561,66150,0.09,0.50,9657,2968,25.9,10291,160804,0.11
ID,157664,25632,53075,50668,18503,9787,74177,83487,1634464,57808,0.10,0.37,25100,36757,33.2,8148,122810,0.08
IL,1216788,197156,282129,297882,242603,197018,564933,651855,12880580,566895,0.09,0.47,247118,193975,33.4,10190,2015218,0.16
IN,550886,38876,234204,178296,55829,43682,293747,257139,6596855,246747,0.08,0.45,126642,99271,37.7,10517,614575,0.09
IA,229586,17565,82945,75989,23662,29425,111054,118531,3107126,71894,0.07,0.31,72565,27687,37.4,9789,272128,0.09
KS,239406,34295,62353,90094,24579,28085,110064,129342,2904021,100444,0.08,0.42,66487,47475,35.7,9408,196273,0.07
KY,357753,31765,103981,122923,69669,29414,187345,170408,4413457,188516,0.08,0.53,91267,55167,37.7,10257,559402,0.13
LA,425096,5704,152821,130104,96353,40115,174780,250315,4649676,183487,0.09,0.43,124358,85755,40.1,10515,801103,0.17
ME,122856,5805,41496,34098,19715,21743,43599,79258,1330089,46443,0.09,0.38,45157,12788,33.1,12077,166683,0.13
MD,445347,28183,127046,147501,99112,43506,172748,272599,5976407,230621,0.07,0.52,112567,62082,33.2,10839,662640,0.11
MA,534182,21837,117003,192804,125017,77521,241101,293080,6745408,254906,0.08,0.48,215357,63705,27.2,13319,1050682,0.16
MI,871572,51633,253934,277315,145931,142760,362947,508626,9909877,327244,0.09,0.38,268426,173663,34.5,9897,1376870,0.14
MN,321103,65906,109570,72925,45001,27702,164174,156928,5457173,122715,0.06,0.38,75192,29187,33.6,10846,442403,0.08
MS,289727,5036,85386,107069,65421,26815,96485,193242,2994079,145515,0.10,0.50,116065,45703,39.5,9394,410858,0.14
MO,505642,32414,130554,176908,106333,59434,240681,264962,6063589,192700,0.08,0.38,117906,83018,36.4,9921,670652,0.11
MT,104565,15541,38312,36576,3507,10628,46260,58305,1023579,37432,0.10,0.36,35831,5394,30.5,10212,87629,0.09
NE,150678,4794,37902,44496,35390,28096,79423,71255,1881503,69171,0.08,0.46,55118,17965,35.3,10514,156229,0.08
NV,351425,9084,141905,87630,61700,51106,183836,167589,2839099,166853,0.12,0.47,59912,51452,33.5,8348,474358,0.17
NH,80952,0,34078,19735,9203,17935,32340,48612,1326813,35377,0.06,0.44,14212,20474,30.2,11793,70851,0.05
NJ,683036,24314,226123,224150,158270,50179,315848,367188,8938175,366472,0.08,0.54,129988,66851,29.1,11868,789866,0.09
NM,204671,10659,61674,74574,36399,21364,81051,123620,2085572,101335,0.10,0.50,70100,37249,32.4,8902,498944,0.24
NY,1389668,108545,333135,426286,336956,184746,714387,675281,19746227,598003,0.07,0.43,220616,172092,30.1,14007,2876474,0.15
NC,881895,75196,286292,274110,129439,116857,318268,563625,9943964,451142,0.09,0.51,355784,170157,34.1,8917,1486498,0.15
ND,48813,5795,13499,17944,8351,3224,28357,20457,739482,20580,0.07,0.42,12126,5969,35.4,11301,45945,0.06
OH,856581,24941,270117,269208,151487,140826,276401,580179,11594163,356918,0.07,0.42,270646,212349,38.1,10478,1487242,0.13
OK,378595,16347,154043,96412,79009,32783,131949,246647,3878051,182659,0.10,0.48,134708,95579,40.0,9444,671825,0.17
OR,284560,25480,97858,85959,51403,23861,138531,146029,3970239,102133,0.07,0.36,99327,43646,30.9,10071,743363,0.19
PA,1062477,141503,302343,275897,219655,123078,473733,588744,12787209,466365,0.08,0.44,253845,109527,33.4,11603,1836059,0.14
RI,82472,1064,31330,22901,13251,13924,28427,54045,1055173,32753,0.08,0.40,10162,13738,30.8,11694,140610,0.13
SC,415699,1691,122642,165199,61500,64667,179800,235899,4832482,167728,0.09,0.40,124342,66517,35.0,8766,624314,0.13
SD,70669,12396,14336,21058,16049,6830,35762,34907,853175,31488,0.08,0.45,12389,17577,36.8,12495,71078,0.08
TN,653157,17117,218565,242251,107765,67459,307459,345698,6549352,246811,0.10,0.38,215583,81850,38.9,9336,786502,0.12
TX,3222660,218539,1256575,947241,485079,315225,1724587,1498073,26956958,1731783,0.12,0.54,1051729,329440,35.5,8406,3453436,0.13
UT,235174,36408,95170,52078,20502,31017,139455,95719,2942902,115658,0.08,0.49,68147,12893,31.1,7522,155974,0.05
VT,47031,11630,17126,9228,5370,3679,26964,20068,626562,27780,0.08,0.59,16279,7823,26.8,12756,70475,0.11
VA,662577,102027,198901,161105,145284,55259,294343,368234,8326289,333505,0.08,0.50,177136,96161,35.2,9195,825660,0.10
WA,594510,36279,209295,121313,148801,78822,255993,338516,7061530,287533,0.08,0.48,164740,56207,31.7,9265,906150,0.13
WV,184341,29357,44188,49277,17686,43836,82167,102174,1850326,78453,0.10,0.43,53195,32865,41.0,12769,323586,0.17
WI,453225,71995,155298,76030,75919,73984,214204,239020,5757564,254184,0.08,0.56,53653,135257,37.7,9982,695036,0.12
WY,51261,2532,23207,15373,2221,7927,24096,27165,584153,30781,0.09,0.60,7857,13624,34.3,10989,28615,0.05
